,ID,Title,Content,Time,Place
11,020011,Ich bin zu Hause,"Ich bin zu Hause zwischen Tag und Traum.Dort wo die Kinder schläfern, heiß vom Hetzen,dort wo die Alten sich zu Abend setzen,und Herde glühn und hellen ihren Raum.Ich bin zu Hause zwischen Tag und Traum.Dort wo die Abendglocken klar verlangenund Mädchen, vom Verhallenden befangen,sich müde stützen auf den Brunnensaum.Und eine Linde ist mein Lieblingsbaum;und alle Sommer, welche in ihr schweigen,rühren sich wieder in den tausend Zweigenund wachen wieder zwischen Tag und Traum.",22.11.1897,Berlin-Wilmersdorf
12,020012,In der Dämmerung,"Und einmal lös ich in der Dämmerungder Pinien von Schulter und vom Schoßmein dunkles Kleid wie eine Lüge losund tauche in die Sonne bleich und bloßund zeige meinem Meere: ich bin jung.Dann wird die Brandung sein wie ein Empfang,den mir die Wogen festlich vorbereiten.Und eine jede zittert nach der zweiten, -wie soll ich ganz allein entgegenschreiten:das macht mich bang...Ich weiß: die hellgesellten Wellen webenmir einen Wind;und der erst beginnt,so wird er wieder meine Arme heben -",14.5.1898,Viareggio
13,020013,Den wir alle sangen,"Du, den wir alle sangen,du einziger und echter Christ,du Kinderkönig, der du bist, -ich bin allein: mein Alles istentgegen dir gegangen.Du Mai, vor deinen Mienensieh mich bereit, die Arme weit:dein Unmut, deine Zögerzeit,dein Mut und deine Müdigkeithat alles Raum in ihnen...",22.2.1898,Berlin-Wilmersdorf
14,020014,Du wacher Wald,"Du wacher Wald, inmitten wehen Winternhast du ein Frühlingsfühlen dir erkühnt,und leise lässest du dein Silber sintern,damit ich seh, wie deine Sehnsucht grünt.Und wie mich weiter deine Wege führen,erkenn ich kein Wohin und kein Woherund weiß: vor deinen Tiefen waren Türen-und sind nicht mehr.",19.1.1898,Berlin
15,020015,Du musst das Leben nicht verstehen,"Du musst das Leben nicht verstehen,dann wird es werden wie ein Fest.Und lass dir jeden Tag geschehenso wie ein Kind im Weitergehen von jedem Wehensich viele Blüten schenken lässt.Sie aufzusammeln und zu sparen,das kommt dem Kind nicht in den Sinn.Es löst sie leise aus den Haaren,drin sie so gern gefangen waren,und hält den lieben jungen Jahrennach neuen seine Hände hin.",8.1.1898,Berlin-Wilmersdorf
16,020016,Ich möchte werden wie die ganz Geheimen,"Ich möchte werden wie die ganz Geheimen:Nicht auf der Stirne die Gedanken denken,nur eine Sehnsucht reichen in den Reimen,mit allen Blicken nur ein leises Keimen,mit meinem Schweigen nur ein Schauern schenken.Nicht mehr verraten und mich ganz verschanzenund einsam bleiben; denn so tun die Ganzen:Erst wenn, wie hingefällt von lichten Lanzen,die laute Menge tief ins Knieen glitt,dann heben sie die Herzen wie Monstranzenaus ihrer Brust und segnen sie damit.",29.12.1897,Berlin-Wilmersdorf
17,020017,"Vor lauter Lauschen und Staunen sei still,","Vor lauter Lauschen und Staunen sei still,du mein tieftiefes Leben;dass du weisst, was der Wind dir will,eh noch die Birken beben.Und wenn dir einmal das Schweigen sprach,lass deine Sinne besiegen.Jedem Hauche gieb dich, gieb nach,er wird dich lieben und wiegen.Und dann meine Seele sei weit, sei weit,dass dir das Leben gelinge,breite dich wie ein Feierkleidüber die sinnenden Dinge.",19.1.1898,Berlin-Grunewald
18,020018,"Träume, die in deinen Tiefen wallen","Träume, die in deinen Tiefen wallen,aus dem Dunkel lass sie alle los.Wie Fontänen sind sie, und sie fallenlichter und in Liederintervallenihren Schalen wieder in den Schoß.Und ich weiß jetzt: wie die Kinder werde.Alle Angst ist nur ein Anbeginn;aber ohne Ende ist die Erde,und das Bangen ist nur die Gebärde,und die Sehnsucht ist ihr Sinn -",22.2.1898,Berlin-Wilmersdorf
19,020019,Ich ließ meinen Engel lange nicht los,"Ich ließ meinen Engel lange nicht los,und er verarmte mir in den Armenund wurde klein, und ich wurde groß:und auf einmal war ich das Erbarmen,und er eine zitternde Bitte bloß.Da hab ich ihm seine Himmel gegeben, - und er ließ mir das Nahe, daraus er entschwand;er lernte das Schweben, ich lernte das Leben,und wir haben langsam einander erkannt...",22.2.1898,Berlin-Wilmersdorf
20,020020,Seit mich mein Engel nicht mehr bewacht,"Seit mich mein Engel nicht mehr bewacht,kann er frei seine Flügel entfaltenund die Stille der Sterne durchspalten, -denn er muss meiner einsamen Nachtnicht mehr ängstlichen Hände halten -seit mich mein Engel nicht mehr bewacht.",8.2.1898,Berlin
21,020021,Hat auch mein Engel keine Pflicht mehr,"Hat auch mein Engel keine Pflicht mehr,seit ihn mein strenger Tag vertrieb,oft senkt er sehnend sein Gesicht herund hat die Himmel nicht mehr lieb.Er möchte wieder aus armen Tagenüber Wälder rauschendem Ragenmeine blassen Gebete tragenin die Heimat der Cherubim.Dorthin trug er mein frühes Weinenund Bedanken, und meine kleinenLeiden wuchsen dorten zu Hainen,welche flüstern über ihm...",8.2.1898,Berlin
22,020022,Wenn ich einmal im Lebensland,"Wenn ich einmal im Lebensland,im Gelärme von Markt und Messe -meiner Kindheit erblühte Blässe:meinen ernsten Engel vergesse -seine Güte und sein Gewand,die betenden Hände, die segnende Hand, -in meinen heimlichsten Träumen behaltenwerde ich immer das Flügelfalten,das wie eine weiße Zypressehinter ihm stand...",7.2.1898,Berlin
23,020023,Seine Hände blieben wie blinde Vögel,"Seine Hände blieben wie blindeVögel, die, um Sonne betrogen,wenn die andern über die Wogenzu den währenden Lenzen zogen,in der leeren, entlaubten Lindewehren müssen dem Winterwinde.Auf seinen Wangen war die Schamder Bräute, die über der Seele Schreckendunkle Purpurdeckenbreiten dem Bräutigam.Und in den Augen lagGlanz von dem ersten Tag, -aber weit über allem warragend das tragende Flügelpaar...",6.2.1898,Berlin
24,020024,Um die vielen Madonnen sind viele ewige Engelknaben,"Um die vielen Madonnen sindviele ewige Engelknaben,die Verheißung und Heimat habenin dem Garten, wo Gott beginnt.Und sie ragen alle nach Rang,und sie tragen die goldenen Geigen,und die Schönsten dürfen nie schweigen:ihre Seelen sind aus Gesang.Immer wieder müssen sieklingen alle die dunklen Chorale,die sie klangen vieltausend Male:Gott stieg nieder aus Seinem Strahleund du warst die schönste SchaleSeiner Sehnsucht, Madonna Marie.Aber oft in der Dämmerungwird die Mutter müder und müder,-und dann flüstern die Engelbrüder,und sie jubeln sie wieder jung.Und sie winken mit den weißenFlügeln festlich im Hallenhofe,und sie heben aus den heißenHerzen höher die eine Strophe:Alle, die in Schönheit gehn,werden in Schönheit auferstehn.",27.4.1898,Florenz
25,020025,Gebet,"Ernster Engel aus Ebenholz:Du riesige Ruh.Dein Schweigen schmolznoch nie in den Brändenvon Büßerhänden.Flammenumflehter!Deine Betersind stolz:wie du.Der du versteinst,du über den Blicken beginnenderKönig, erkiesedir ein Geschlecht,dem du gerechterscheinst,saumsinnenderRiese.Du, aller MattenFurchteinflößer,Einer ist größerals du: dein Schatten.",Sommer/Herbst 1898,?
26,020026,Lauschende Wolke über dem Wald,"Lauschende Wolke über dem Wald.Wie wir sie lieben lernten,seit wir wissen, wie wunderbaldsie als weckender Regen pralltan die träumenden Ernten.",18.2.1898,Berlin
27,020027,Abendschweigen,"Und ich ahne: in dem Abendschweigenist ein einstiger Opferbrauch;tiefer atmend hebt sich jeder Hauch:ein Erfüllen will sich niederneigenzu dem schwarzen hingeknieten Strauch.Und die Sterne trennen sich und steigen,und die Dunkelheiten steigen auch.",20.3.1898,Arco (Südtirol)
28,020028,"Gehst du außen Mauern entlang, kannst du die vielen Rosen","Gehst du außen Mauern entlang,kannst du die vielen Rosen nicht schauenin dem fremden Gartengang;aber in deinem tiefen Vertrauendarfst du sie fühlen wie nahende Frauen.Sicher schreiten sie zwei zu zwein,und sie halten sich um die Hüften, -und die roten singen allein;und dann fallen mit ihren Düftenleise, leise die weißen ein...",4.5.1898,Florenz (Ripoli)
29,020029,Ist ein Schloss,Ist ein Schloss. Das vergehendeWappen über dem Tor.Wipfel wachsen wie flehendeHände höher davor.In das langsam versinkendeFenster stieg eine blinkendeblaue Blume zur Schau.Keine weinende Frau -sie ist die letzte Winkendein dem gebrochenen Bau.,2.2.1898,Berlin
30,020030,Zur kleinen Kirche musst du aufwärts steigen,"Zur kleinen Kirche musst du aufwärts steigen,auf einen Hügel hat man sie gebaut;denn dieses arme Dorf ist ihr vertrautund schützend soll sie schauen auf sein Schweigen.Der Frühling aber kann noch höher bauen;sie lächelt licht wie eine weiße Brautund kann schon nicht mehr ihre Hütten schauenund schaut nur ihn und läutet nicht mehr laut. . .",14.12.1897,Berlin-Wilmersdorf
31,020031,"Das sind die Gärten, an die ich glaube","Das sind die Gärten, an die ich glaube:Wenn das Blühn in den Beeten bleicht,und im Kies unterm löschenden LaubeSchweigen hinrinnt, durch Linden geseigt.Auf dem Teich aus den glänzenden Ringenschwimmt ein Schwan dann von Rand zu Rand.Und er wird auf den schimmernden Schwingenals erster Milde des Mondes bringenan den nicht mehr deutlichen Strand.",19.11.1897,Berlin-Wilmersdorf
32,020032,"Schau, wie die Zypressen schwärzer werden","Schau, wie die Zypressen schwärzer werdenin den Wiesengründen, und auf wenin den unbetretbaren Alleendie Gestalten mit den Steingebärdenweiterwarten, die uns übersehn.Solchen stillen Bildern will ich gleichenund gelassen aus den Rosen reichen,welche wiederkommen und vergehn;immerzu wie einer von den Teichendunkle Spiegel immergrüner Eichenin mir halten, und die großen Zeichenungezählter Nächte näher sehn.",4.5.1898,Florenz (Ripoli)
33,020033,Erste Rosen erwachen,"Erste Rosen erwachen,und ihr Duften ist zagwie ein leisleises Lachen;flüchtig mit schwalbenflachenFlügeln streift es den Tag;und wohin du langst,da ist alles noch Angst.Jeder Schimmer ist scheu,und kein Klang ist noch zahm,und die Nacht ist zu neu,und die Schönheit ist Scham.",9.5.1898,Florenz (San Miniato)
34,020034,"Blendender Weg, der sich vor Licht verlor","Blendender Weg, der sich vor Licht verlor,Und auf einmal, wie im Traum: ein Tor,breit eingebaut in unsichtbare Wände.Der Türen Holz ist lang im Tag verbrannt;doch trotzig dauert auf dem Bogenranddas Wappen und das Fürstendiadem.Und wenn du eintrittst, bist du Gast. - Bei wem?Und schauernd schaust du in das wilde Land.",21.5.1898,Viareggio
35,020035,Da steht er gestützt am Turm,"Da steht er gestützt am Turm.Nur die Wipfel und Fahnenkönnen sein Warten ahnen,und sie flüstern sich furchtsam: der Sturm.Das hören die Birken, zart,und stemmend sich Stamm zum Stamme;wie eine farblose Flammeflatters sein Bart.Und dann wissens die Kinder schon,suchen der Mutter Mienen.Wie von wilden Bienenist in der Luft ein Ton.",25.11.1897,Berlin-Wilmersdorf
36,020036,Im flachen Land war ein Erwarten,"Im flachen Land war ein Erwartennach einem Gast, der niemals kam;noch einmal fragt der bange Garten,dann wird sein Lächeln langsam lahm.Und in den müßigen Morästenverarmt im Abend die Allee,die Äpfel ängsten an den Ästen,und jeder Wind tut ihnen weh.",24.11.1897,Berlin-Wilmersdorf
37,020037,Wer einst das einsame Haus erbaut,"Wer einst das einsame Haus erbaut,ich konnte es nirgends erlauschen.Auch die Wipfel wagen nicht, lautum sein Ragen zu rauschen.Im Parke: Tot ist jeder Ton -und alle Farbe sind entflohn,nur rotrote Blüten baten..als müsste alten Mord der Mohnimmer wieder von Sohn zu Sohnverraten.",4.5.1898,Florenz (Ville le Lame)
38,020038,"Das ist dort, wo die letzten Hütten sind","Das ist dort, wo die letzten Hütten sindund neue Häuser, die mit engen Brüstensich drängen aus den bangen Baugerüstenund wissen wollen, wo das Feld beginnt.Dort bleibt der Fühling immer halb und blass,der Sommer fiebert hinter dessen Planken;die Kirschbäume und die Kinder kranken,und nur der Herbst hat dorten irgendwasVersöhnliches und Fernes; manchesmalsind seine Abende von sanftem Schmelze:die Schlafe schlummern, und der Hirt im Pelzelehnt dunkel an dem letzten Lampenpfahl.",19.11.1897,Berlin-Wilmersdorf
39,020039,Manchmal geschieht es in tiefer Nacht,"Manchmal geschieht es in tiefer Nacht,dass der Wind wie ein Kind erwacht,und er kommt die Alleen alleinleise, leise ins Dorf herein.Und er tastet bis an den Teich,und dann horcht er herum:Und die Häuser sind alle bleich,und die Eichen sind stumm...",3.2.1898,Berlin
40,020040,"Wir wollen, wenn es wieder Mondnacht wird","Wir wollen, wenn es wieder Mondnacht wird,die Traurigkeit zu großer Stadt vergessenund hingehn und uns an das Gitter pressen,das von dem versagten Garten trennt.Wer kennt ihn jetzt, der ihn am Tage traf:mit Kindern, lichten Kleidern, Sommerhüten, -wer kennt ihn so: allein mit seinen Blüten,die Teiche offen, liegend ohne Schlaf.Figuren, welche stumm im Dunkel stehn,scheinen sich leise aufzurichten,und steinerner und stiller sind die lichtenGestalten an dem Eingang der Alleen.Die Wege liegen gleich entwirrten Strähnennebeneinander, ruhig, eines Zieles.Der Mond ist zu den Wiesen unterwegs;den Blumen fließt der Duft herab wie Tränen.Über den heimgefallenen Fontänenstehn noch die kühlen Spuren ihres Spielesin nächtiger Luft.",Herbst 1902,Paris
41,020041,Als du mich einst gefunden hast,"Als du mich einst gefunden hast,da war ich klein, so klein,und blühte wie ein Lindenastnur still in dich hinein.Vor Kleinheit war ich namenlosund sehnte mich so hin,bis du mir sagst, dass ich zu großfür jeden Namen bin:Da fühl ich, dass ich eines binmit Mythe, Mai und Meer,und wie der Duft des Weines binich deiner Seele schwer...",18.2.1898,Berlin-Schmargendorf
42,020042,Viele Fähren sind auf den Flüssen,"Viele Fähren sind auf den Flüssen,und eine bringt sicher ihn;aber ich kann nicht küssen,so wird er vorüberziehn. -Draußen war Mai.Auf unserer alten Kommodebrannten der Kerzen zwei;die Mutter sprach mit dem Tode,da brach ihr die Stimme entzwei.Und wie ich klein in der Stille stand,reichte ich nicht in das fremde Land,das meine Mutter bange erkannt,ragte nur bis zum Bettesrand,fand allein ihre blasse Hand,von der ich Segen bekam.Aber der Vater, von Wahnsinn wund,riss mich hoch an der Mutter Mund,der mir den Segen nahm.",4.2.1898,Berlin
43,020043,Ich bin ein Waise,"Ich bin ein Waise. Niehat jemand um meinetwillendie Geschichten berichtet, diedie Kinder bestärken und stillen.Wo kommt mir das plötzlich her?Wer hat es mir zugetragen?Für ihn weiß ich alles Sagenund was man erzählt am Meer.",(?),(?)
44,020044,Ich war ein Kind und träumte viel,"Ich war ein Kind und träumte vielund hatte noch nicht Mai;da trug ein Mann sein Seitenspielan unserm Hof vorbei.Da hab ich bange aufgeschaut:""O Mutter, lass mich frei...""      Bei seiner Laute erstem Laut      brach etwas mir entzwei.Ich wusste, eh sein Sang begann:Es wird mein Leben sein.Sing nicht, sing nicht, du fremder Mann:Es wird mein Leben sein.Du singst mein Glück und meine Müh,mein Lied singst du und dann:mein Schicksal singst du viel zu früh,so dass ich, wie ich blüh und blüh, -es nie mehr leben kann.Er sang. Und dann verklang sein Schritt, -er musste weiterziehn;und sang mein Leid, das ich nie litt,und sang mein Glück, das mir entglitt,und nahm mich mit und nahm mich mit -und keiner weiß wohin...",19.5.1898,Viareggio
45,020045,Ihr Mädchen seid wie die Gärten,"Ihr Mädchen seid wie die Gärtenam Abend im April:Frühling auf vielen Fährten,aber noch nirgends ein Ziel.",23.3.1898,Arco (Südtirol)
46,020046,Jetzt sind sie alle schon selber Frauen,"Jetzt sind sie alle schon selber Frauen.Haben Kinder und Träume verloren,und Kinder geborenund Kinder geboren,und sie wissen: in diesen Torenwerden wir alle in Gram ergrauen.Alles ihre hat Raum im Haus.Nur das Avemarialäutenhat ihren Herzen noch ein Bedeuten,und kommen sie müd heraus.Wenn die Wege zu wachsen beginnen,kühl aus der blassen Campagna zieht's:sie sich wie eines alten Lieds...",21.5.1898,Viareggio
47,020047,Geh ich die Gassen entlang,"Geh ich die Gassen entlang,da sitzen alle die braunenMädchen und schauen und staunenhinter meinem Gang.Bis eine zu singen beginntund alle aus ihrem Schweigensich lächelnd niederneigen:      Schwestern, wir müssen ihm zeigen      wer wir sind.",18.5.1898,Viareggio
48,020048,Königinnen seid ihr und reich,"Königinnen seid ihr und reich.Um die Lieder noch reicherals blühende Bäume.Nicht wahr, der Fremdling ist bleich?Aber noch viel, viel bleichersind seine Lieblingsträume,sind wie Rosen im Teich.Das empfandet ihr gleich:Königinnen seid ihr und reich.",18.5.1898,Viareggio
49,020049,Die Welle schwieg euch nie,"Die Welle schwieg euch nie,so seid auch ihr nie stillund singt wie sie;und was tief innen euer Wesen will,wird Melodie.Und ließ den Klang in euch der Schönheit Scham erstehn?Erweckte ihn ein junger Mädchengram-um wen?Die Lieder kamen, wie das Sehnen kam,und werden langsam mit dem Bräutigamvergehn...",18.5.1898,Viareggio
50,020050,Die Mädchen sehn der Kähne Fahrt,"Die Mädchen sehn: der Kähne Fahrtkehrt fernher hafenein,und schauen scheu und dichtgepaart,wie schwer das weiße Wasser ward:denn das ist so des Abends Art,wie eine Angst zu sein.Und so ist keine Wiederkehr:Es kommen von dem müden Meerdie Schiffe schwarz und groß und leer,kein Wimpel oben fliegt:als hätte alle irgendwerbesiegt.",3.5.1898,Florenz
51,020051,Ihr Mädchen seid wie die Kähne,"Ihr Mädchen seid wie die Kähne;an die Ufer der Stundenseid ihr immer gebunden, -darum bleibt ihr so bleich;ohne hinzudenken,wollt ihr den Winden euch schenken:euer Traum ist der Teich.Manchmal nimmt euch der Strandwindmit bis die Ketten gespannt sindund dann liebt ihr ihn:      Schwestern, jetzt sind wir Schwäne,      die am Goldgesträhne      die Märchenmuschel ziehn.",15.5.1898,Viareggio
52,020052,Die blonden Schwestern flochten froh,"Die blonden Schwestern flochten frohim Gehn Gesträhn aus goldnem Stroh,bis alles Land vor ihnen sowie Gold zu glühn beginnt;da sagen sie sich: wunderwowir hingeraten sind.Der Abend wird den Blüten schwer,die Schwestern stehn in Schamund halten ihre Hände herund lauschen lang und lächeln leer, -und eine jede sehnt sich: werist unser Bräutigam...",3.5.1898,Florenz (San Domenico)
53,020053,Wenn die blonden Flechterinnen,"Wenn die blonden Flechterinnengehn im Glanz des Abendlands:      sie sind alle Königinnen      und ersinnen und beginnen      ihren eignen Kronenkranz.      Denn das Licht, darin sie leben,      ist ein großes Gnadengeben -      und es kommt von ihnen her,      und das Stroh, das sie zersträhnen,      trank von ihren Mädchentränen -      und es wurde Gold und schwer.",3.5.1898,Florenz (San Domenico)
54,020054,Eh der Garten ganz beginnt,"Eh der Garten ganz beginntsich der Güte hinzugeben,stehn die Mädchen drin und bebenvor dem zögernden Erleben,und aus engen Ängsten hebensie die Hände in den Wind.Und sie gehn auf scheuen Schuhn,als ob sie die Kleider pressten;und das sind die ersten Gesten,die sie im Gefühl von Festenihrem Traum entgegentun...",13.5.1898,Viareggio
55,020055,Alle Straßen führen jetzt grade hinein,"Alle Straßen führenjetzt grade hinein ins Gold:die Töchter vor den Türenhaben das so gewollt.Sie sagen nicht Abschied den Alten,und ist doch: sie wandern weit;wie sie so leicht und befreitanders einander halten,und in anderen Faltenum die lichten Gestaltengleitet das Kleid.",3.5.1898,Florenz (San Domenico)
56,020056,Noch ahnst du nichts vom Herbst des Haines,"Noch ahnst du nichts vom Herbst des Haines,drin lichte Mädchen lachend gehn;nur manchmal küsst wie fernes, feinesErinnern dich der Duft des Weines, -sie lauschen, und es singt wohl einesein wehes Lied vom Wiedersehn.In leiser Luft die Ranken schwanken,wie wenn wer Abschied winkt. - Am Pfadstehn alle Rosen in Gedanken;sie sehen ihren Sommer kranken,und seine hellen Hände sankenleise von seiner reifen Tat.",14.9.1897,München
57,020057,"Die Zeit, von der die Mütter sprachen","Mädchen singen:Die Zeit, von der die Mütter sprachen,fand nicht zu unsern Schlafgemachen,und drin blieb alles glatt und klar.Sie sagen uns, dass sie zerbrachenin einem sturmgejagten Jahr.Wir wissen nicht: Was ist das Sturm?Wir wohnen immer tief im Turmund hören manchmal nur von fernsie Wälder draußen wehn;und einmal blieb ein fremder Sternbei uns stehn.Und wenn wir dann im Garten sind,so zittern wir, dass es beginnt,und warten Tag um Tag -Aber nirgends ist ein Wind,der uns biegen mag.",21.5.1898,Viareggio
58,020058,Wir haben lange im Licht gelacht,"Mädchen singen:Wir haben lange im Licht gelacht,und jede hat einer jeden Nelken und Resedenfestlich wie einer Braut gebracht -und war ein Rätseln und Reden.Dann hat sich mit dem Namen der Nachtlangsam die Stille besternt.Da waren wir wie aus allen erwachtund weit voneienander entfernt:haben die Sehnsucht, die traurig macht,wie ein Lied gelernt...",22.5.1898,Viareggio
59,020059,Die Mädchen am Gartenhange,"Die Mädchen am Gartenhangehaben lange gelachtund mit ihrem Gesangewie mit weitem Gangesich müd gemacht.Die Mädchen bei den Zypressenzittern: Die Stunde beginnt,da sie nicht wissen, wessenalle Dinge sind.",25.4.1898,Florenz (Bello Sguardo)
60,020060,Ich war in ferner Fremde Kind,"Eine singt:Ich war in ferner Fremde Kind,bis ich mich: arm und zart und blind -aus meinem Schämen schlich;ich warte hinter Wald und Windgewiss schon lang auf mich.Ich bin allein und weit vom Hausund sinne still: wie seh ich aus? -- - - - - - - - - - - - - - - - -Fragt jemand, wer ich sei?      ... Gott, ich bin jung und                  ich bin blond      und habe ein Gebet gekonntund geh gewiss umsonst umsonntund fremd an mir vorbei...",22.5.1898,Viareggio
61,020061,Es müsste mich einer führen,"Und singt:Es müsste mich einer führen,aber nicht der Wind;weil der Orte und Türenso viele sind.            Wensoll ich um alles fragen;soll ich immer nur gehnund es wie im Traum ertragen,dass die Berge und Burgen ragenan dem Saumder fremden Seen?...",Frühsommer 1898,?
62,020062,Wir sind uns alle schwesterlich,"Und singt:Wir sind uns alle schwesterlich.Aber Abende sind, da wir frierenund einander langsam verlieren,und eine jede möchte ihrenFreundinnen flüstern: Jetzt fürchtest du dich..Die Mütter sagen uns nicht, wo wir sind,und lassen uns ganz allein, -      wo die Ängste enden und Gott beginnt      mögen wir vielleicht sein...",22.5.1898,Viareggio
63,020063,"Mach, dass etwas uns geschieht","Mach, dass etwas uns geschieht!Sieh, wie wir nach Leben beben.Und wir wollen uns erhebenwie ein Glanz und wie ein Lied.",5.5.1898,Florenz (Via di Chianti)
64,020064,"Du wolltest wie andern sein, die sich scheu in Kühle kleiden","Du wolltest wie andern sein,die sich scheu in Kühle kleiden;deine Seele wollte seidenihre müden Mädchenleidenweiterblühn am Lebensrain.Aber tief aus deinem Krankenwagte eine Kraft zu ranken, -Sonnen lohten, Samen sanken:und du wurdest wie der Wein.Und jetzt bist du süß und sattwie ein Abend auf uns allen, -und wir fühlen, wie wir fallen,und du machst uns alle matt...",5.5.1898,Florenz (Via di Chianti)
65,020065,"Schau, unsre Tage sind so eng","Schau, unsre Tage sind so engund bang das Nachtgemach;wir langen alle ungelenkden roten Rosen nach.Du musst uns milde sein, Marie,wir blühn aus deinem Blut,und du allein kannst wissen, wieso weh die Sehnsucht tut;du hast ja dieses Mädchenwehder Seele selbst erkannt:sie fühlt sich an wie Weihnachtsschnee,und steht doch ganz in Brand...",5.5.1898,Florenz (Cascine)
66,020066,Von so vielem blieb uns der Sinn,"Von so vielem blieb uns der Sinn,gerade von dem Sanften und Zartenhaben wir irgendein Wissen:wie von einem geheimen Garten,wie von einem samtenen Kissen,das sich uns unter den Schlummer schiebt,wie von etwas, das uns liebtmit einer verwirrenden Zärtlichkeit, -aber viele Worte sind weit.Viele Worte sind aus den Sinnen entflohnund aus der Welt.Haben sich horchend um deinen Thron,wie um einen steigenden Ton,Mutter Maria, gestellt;und dein Sohnlächelt sie an:Sieh deinen Sohn.",22.7.1899,Berlin-Schmargendorf
